Pokemon_1,Pokemon_2,Winner
Unown,Venomoth,Venomoth
Feraligatr,Sawsbuck,Sawsbuck
Stoutland,Regigigas,Regigigas
Scyther,Registeel,Registeel
HoopaHoopa Unbound,Phione,HoopaHoopa Unbound
Voltorb,Mothim,Voltorb
Archeops,LopunnyMega Lopunny,LopunnyMega Lopunny
RotomMow Rotom,Flabébé,RotomMow Rotom
BanetteMega Banette,Mesprit,Mesprit
Cloyster,Deerling,Cloyster
Swirlix,Poochyena,Swirlix
Zapdos,Totodile,Zapdos
Pidove,Mamoswine,Mamoswine
Sableye,Slurpuff,Slurpuff
Celebi,Servine,Celebi
Mr. Mime,Floette,Mr. Mime
Archen,Crawdaunt,Crawdaunt
KeldeoOrdinary Forme,Aerodactyl,Aerodactyl
Zekrom,Tynamo,Zekrom
Frillish,Oshawott,Oshawott
Deerling,PinsirMega Pinsir,PinsirMega Pinsir
Vigoroth,Dodrio,Dodrio
Yanma,Rotom,Rotom
Torterra,Miltank,Miltank
Sableye,Cherubi,Sableye
Meowth,Teddiursa,Meowth
Magnezone,Corsola,Magnezone
Goomy,Cyndaquil,Cyndaquil
Mime Jr.,Stantler,Stantler
Garchomp,HeracrossMega Heracross,HeracrossMega Heracross
Bergmite,Wartortle,Wartortle
Goldeen,PumpkabooSuper Size,PumpkabooSuper Size
Deino,Kangaskhan,Kangaskhan
Malamar,Froslass,Froslass
Cryogonal,Bellsprout,Cryogonal
Wailord,Lanturn,Lanturn
Magmortar,Durant,Durant
Staraptor,Floatzel,Floatzel
Nidoran♂,Infernape,Infernape
Vileplume,Skrelp,Vileplume
Dunsparce,AmpharosMega Ampharos,AmpharosMega Ampharos
Eelektross,Clefable,Clefable
Staraptor,Vileplume,Staraptor
Vulpix,Rufflet,Vulpix
Drilbur,Quilladin,Quilladin
Vibrava,LatiosMega Latios,LatiosMega Latios
Bellsprout,Petilil,Petilil
Machoke,Azelf,Azelf
Gorebyss,Deino,Gorebyss
Altaria,GroudonPrimal Groudon,GroudonPrimal Groudon
Metapod,Basculin,Basculin
Prinplup,Vanillish,Vanillish
Magneton,Beartic,Magneton
Gurdurr,Vibrava,Vibrava
Stoutland,Jellicent,Jellicent
Axew,Luvdisc,Luvdisc
Cobalion,Surskit,Cobalion
Simipour,Ivysaur,Simipour
Skorupi,Serperior,Serperior
Plusle,Vulpix,Plusle
Metagross,Regice,Metagross
Duosion,Shellder,Shellder
Gothita,Sceptile,Sceptile
Gothitelle,Hitmonchan,Hitmonchan
Abra,Palpitoad,Abra
Hippowdon,Charmander,Hippowdon
Pikachu,Tyrunt,Tyrunt
Carbink,Tyrantrum,Tyrantrum
Drowzee,Starly,Drowzee
AegislashBlade Forme,Paras,AegislashBlade Forme
Larvesta,Wooper,Larvesta
Toxicroak,Sigilyph,Sigilyph
LopunnyMega Lopunny,Growlithe,LopunnyMega Lopunny
Vanilluxe,Banette,Vanilluxe
Floette,Simisage,Simisage
Watchog,Elekid,Elekid
Phanpy,Drilbur,Drilbur
HoopaHoopa Unbound,Cubchoo,HoopaHoopa Unbound
Surskit,Vigoroth,Vigoroth
Poliwrath,CharizardMega Charizard Y,CharizardMega Charizard Y
Fletchinder,KeldeoOrdinary Forme,KeldeoOrdinary Forme
Hippopotas,Delphox,Delphox
Whirlipede,GyaradosMega Gyarados,GyaradosMega Gyarados
Beautifly,SableyeMega Sableye,SableyeMega Sableye
Gible,Magnezone,Magnezone
Psyduck,Mudkip,Psyduck
Deerling,RotomHeat Rotom,RotomHeat Rotom
Pichu,Trevenant,Trevenant
Hitmonlee,Vileplume,Vileplume
Elgyem,Yanma,Yanma
Vanilluxe,Wailmer,Vanilluxe
Haunter,Banette,Haunter
Lanturn,MewtwoMega Mewtwo X,MewtwoMega Mewtwo X
Carracosta,Petilil,Carracosta
Paras,Magmar,Magmar
Braviary,Stunky,Braviary
Fearow,Swellow,Swellow
Trevenant,Wooper,Trevenant
Wigglytuff,Spinarak,Wigglytuff
Pidgeot,Regigigas,Regigigas
Happiny,Aipom,Aipom
Hitmonlee,Medicham,Medicham
Spewpa,Togepi,Togepi
DeoxysSpeed Forme,Turtwig,DeoxysSpeed Forme
Dustox,RotomWash Rotom,RotomWash Rotom
Sylveon,Duskull,Sylveon
Gulpin,SalamenceMega Salamence,SalamenceMega Salamence
Sliggoo,Hippopotas,Sliggoo
Zapdos,Doublade,Doublade
Scolipede,Audino,Audino
Wartortle,Munchlax,Munchlax
Persian,Mew,Mew
Klinklang,Unfezant,Unfezant
Woobat,Kadabra,Kadabra
Zorua,Nosepass,Zorua
Chespin,Spoink,Spoink
Articuno,Combusken,Articuno
MeowsticMale,Binacle,MeowsticMale
SableyeMega Sableye,Swinub,SableyeMega Sableye
Jolteon,Buneary,Jolteon
Remoraid,Numel,Remoraid
Unown,Scolipede,Scolipede
Gogoat,Serperior,Serperior
AegislashShield Forme,Venipede,AegislashShield Forme
Heliolisk,DeoxysAttack Forme,DeoxysAttack Forme
Skiddo,Weavile,Weavile
Lileep,Dustox,Dustox
Floatzel,CameruptMega Camerupt,Floatzel
Castform,Klefki,Klefki
Squirtle,Aipom,Aipom
Marill,Scraggy,Scraggy
Bonsly,Venusaur,Venusaur
Alomomola,Swanna,Swanna
Cubone,Clefairy,Clefairy
AegislashShield Forme,Aerodactyl,Aerodactyl
Hoppip,Gothita,Gothita
Metagross,Swinub,Metagross
Eelektross,HeracrossMega Heracross,HeracrossMega Heracross
Surskit,Espurr,Espurr
GalladeMega Gallade,Meditite,GalladeMega Gallade
Golurk,Delcatty,Delcatty
Pinsir,Barbaracle,Barbaracle
Skrelp,Mankey,Mankey
Volcanion,Furfrou,Furfrou
Zigzagoon,Piloswine,Piloswine
Pidgeotto,Pangoro,Pangoro
Chimchar,Reshiram,Reshiram
Registeel,DiancieMega Diancie,DiancieMega Diancie
Xerneas,Muk,Xerneas
Sceptile,Venusaur,Sceptile
Snivy,Riolu,Snivy
Pidove,Skiddo,Skiddo
Qwilfish,Munna,Qwilfish
Minccino,Noctowl,Noctowl
Riolu,ThundurusIncarnate Forme,ThundurusIncarnate Forme
Seadra,Simipour,Simipour
Bidoof,Magneton,Magneton
Wooper,Nidoran♀,Nidoran♀
Hitmonlee,Zapdos,Zapdos
Mienshao,Glaceon,Glaceon
Sylveon,Klink,Sylveon
Wynaut,Slaking,Slaking
Mew,Registeel,Registeel
Tepig,Cresselia,Cresselia
Anorith,Wartortle,Wartortle
Togepi,Ledian,Ledian
Ludicolo,Burmy,Ludicolo
Barbaracle,Ampharos,Barbaracle
Mandibuzz,KyuremWhite Kyurem,KyuremWhite Kyurem
Slowpoke,Herdier,Herdier
SableyeMega Sableye,MeowsticMale,MeowsticMale
AegislashShield Forme,TyranitarMega Tyranitar,TyranitarMega Tyranitar
BlazikenMega Blaziken,Ivysaur,BlazikenMega Blaziken
Shedinja,Electrike,Electrike
Carracosta,Mightyena,Mightyena
GiratinaOrigin Forme,Relicanth,GiratinaOrigin Forme
DeoxysSpeed Forme,Sealeo,DeoxysSpeed Forme
Mantyke,Venonat,Venonat
Roggenrola,Doublade,Doublade
Ledian,Skarmory,Skarmory
Squirtle,Wynaut,Squirtle
Poochyena,Dwebble,Dwebble
Slaking,LandorusTherian Forme,LandorusTherian Forme
Clauncher,Sandile,Sandile
Zigzagoon,Slaking,Slaking
Abomasnow,Quilladin,Abomasnow
Tympole,Phantump,Phantump
Corsola,Lickitung,Corsola
Taillow,Horsea,Taillow
Lairon,Honedge,Lairon
Gurdurr,LandorusTherian Forme,LandorusTherian Forme
Chimchar,Noctowl,Noctowl
Slugma,Golduck,Golduck
Primeape,Weedle,Primeape
Trubbish,Lairon,Lairon
Shuckle,Seel,Shuckle
Woobat,Caterpie,Woobat
Lileep,Vaporeon,Vaporeon
Slowking,Crawdaunt,Crawdaunt
Tangrowth,Raichu,Raichu
Yamask,Conkeldurr,Conkeldurr
Swampert,Illumise,Swampert
Galvantula,Lugia,Lugia
Dedenne,Illumise,Illumise
Omastar,Shelgon,Shelgon
Clamperl,Klang,Klang
DarmanitanZen Mode,Venusaur,Venusaur
Minun,Carracosta,Carracosta
Basculin,KeldeoResolute Forme,KeldeoResolute Forme
Probopass,Inkay,Probopass
Tropius,Avalugg,Avalugg
Crawdaunt,TornadusTherian Forme,TornadusTherian Forme
Sableye,Scraggy,Scraggy
Bunnelby,Pichu,Pichu
Bronzor,Nidoking,Nidoking
Typhlosion,Gardevoir,Gardevoir
Weepinbell,Onix,Onix
Mamoswine,Stunfisk,Mamoswine
Sharpedo,Croconaw,Sharpedo
Kabuto,Arcanine,Arcanine
Cubchoo,Pansear,Pansear
Ho-oh,GroudonPrimal Groudon,GroudonPrimal Groudon
Sigilyph,Gothita,Sigilyph
Pikachu,Liepard,Liepard
Steelix,GourgeistLarge Size,GourgeistLarge Size
Zapdos,Musharna,Musharna
Shuppet,Fennekin,Fennekin
Skrelp,Whiscash,Whiscash
Hoppip,LucarioMega Lucario,LucarioMega Lucario
Blastoise,Cherubi,Blastoise
HoopaHoopa Unbound,Lopunny,HoopaHoopa Unbound
Dwebble,Oddish,Oddish
Skuntank,Archen,Archen
Spinarak,DarmanitanZen Mode,DarmanitanZen Mode
HoundoomMega Houndoom,Ludicolo,HoundoomMega Houndoom
Magnemite,Heatran,Heatran
Metapod,Volbeat,Volbeat
Tangrowth,Volcarona,Volcarona
Dratini,Bagon,Bagon
Staravia,Aipom,Aipom
Mantine,Haunter,Haunter
Salamence,Parasect,Salamence
Bagon,Whirlipede,Whirlipede
Binacle,Ariados,Ariados
Weepinbell,Dwebble,Dwebble
Wobbuffet,Mankey,Wobbuffet
Gengar,Stunfisk,Stunfisk
Qwilfish,Ferroseed,Qwilfish
Mantine,Pikachu,Mantine
Glameow,Grovyle,Grovyle
Drowzee,Darkrai,Darkrai
SableyeMega Sableye,AegislashBlade Forme,AegislashBlade Forme
Espurr,Tynamo,Espurr
Breloom,Gothorita,Gothorita
Klefki,Swinub,Klefki
Golett,Electrode,Electrode
Altaria,Spewpa,Altaria
RotomFan Rotom,WormadamSandy Cloak,WormadamSandy Cloak
Porygon-Z,Nidoran♀,Porygon-Z
Palkia,Aurorus,Palkia
Krokorok,Murkrow,Murkrow
GiratinaOrigin Forme,Dratini,GiratinaOrigin Forme
Luxray,DeoxysNormal Forme,DeoxysNormal Forme
Durant,Geodude,Durant
Zangoose,Venomoth,Venomoth
Cherubi,Chingling,Chingling
Lumineon,Slowpoke,Lumineon
KangaskhanMega Kangaskhan,Munchlax,KangaskhanMega Kangaskhan
Spoink,Hippowdon,Hippowdon
Forretress,Nidorino,Nidorino
Tentacool,Jolteon,Jolteon
Drifblim,Samurott,Drifblim
Cubone,Bidoof,Cubone
Rotom,Fletchinder,Rotom
Binacle,Heliolisk,Heliolisk
Mantine,CameruptMega Camerupt,CameruptMega Camerupt
Chikorita,Treecko,Treecko
Liepard,Latias,Latias
Electrode,Bagon,Electrode
Beautifly,Froakie,Froakie
Krookodile,RotomWash Rotom,Krookodile
Lumineon,Regice,Regice
Relicanth,Poliwhirl,Poliwhirl
Metang,Emboar,Emboar
Snover,Medicham,Medicham
ScizorMega Scizor,Mankey,ScizorMega Scizor
GourgeistAverage Size,Ekans,GourgeistAverage Size
Scizor,Slurpuff,Slurpuff
Tyrogue,Staravia,Staravia
MeloettaPirouette Forme,Registeel,MeloettaPirouette Forme
Marill,Ferroseed,Ferroseed
Dedenne,GourgeistSuper Size,GourgeistSuper Size
Magneton,CharizardMega Charizard X,CharizardMega Charizard X
Haunter,Staravia,Staravia
Misdreavus,SceptileMega Sceptile,SceptileMega Sceptile
Florges,Lileep,Florges
Geodude,Rhydon,Rhydon
Pignite,Azurill,Pignite
Herdier,Ledyba,Herdier
Dragonite,Clefable,Clefable
Absol,Mr. Mime,Mr. Mime
Geodude,Tentacruel,Tentacruel
Walrein,Petilil,Walrein
Persian,Suicune,Suicune
Psyduck,HoopaHoopa Confined,HoopaHoopa Confined
Jirachi,Grovyle,Jirachi
Walrein,MawileMega Mawile,MawileMega Mawile
DeoxysAttack Forme,Cloyster,Cloyster
Drapion,Rhydon,Rhydon
Corphish,MawileMega Mawile,MawileMega Mawile
Bulbasaur,Machamp,Machamp
SwampertMega Swampert,Stunfisk,SwampertMega Swampert
Delibird,Ninjask,Ninjask
WormadamTrash Cloak,Snorunt,WormadamTrash Cloak
Rapidash,Dodrio,Rapidash
Kabuto,Staraptor,Staraptor
Nidoking,Psyduck,Nidoking
Torchic,Zapdos,Zapdos
Timburr,CharizardMega Charizard Y,CharizardMega Charizard Y
Exeggutor,Pansear,Exeggutor
Unown,Kyogre,Kyogre
Azurill,Pupitar,Pupitar
Gulpin,Staravia,Staravia
SharpedoMega Sharpedo,Hawlucha,Hawlucha
Mesprit,Kricketune,Mesprit
Remoraid,WormadamTrash Cloak,WormadamTrash Cloak
Maractus,Donphan,Donphan
Voltorb,Luxray,Luxray
Combusken,LucarioMega Lucario,LucarioMega Lucario
Xatu,Chimecho,Xatu
Victini,Natu,Victini
Swoobat,Barbaracle,Barbaracle
Mew,Heracross,Mew
Heatran,Chinchou,Heatran
Flabébé,Voltorb,Voltorb
Lucario,Turtwig,Lucario
Conkeldurr,Noivern,Noivern
Larvitar,Avalugg,Avalugg
Chandelure,Unfezant,Unfezant
Mawile,Gengar,Gengar
Horsea,Blissey,Blissey
Electivire,Panpour,Electivire
LucarioMega Lucario,Sliggoo,LucarioMega Lucario
Cresselia,LatiosMega Latios,LatiosMega Latios
Palpitoad,Poliwhirl,Poliwhirl
Flareon,Probopass,Probopass
Espurr,HoundoomMega Houndoom,HoundoomMega Houndoom
Xerneas,Bibarel,Xerneas
Combee,Zorua,Zorua
Probopass,Mewtwo,Mewtwo
Litwick,Charmander,Charmander
Houndoom,Blitzle,Houndoom
Heracross,Cofagrigus,Cofagrigus
Volcanion,Darkrai,Darkrai
Groudon,SalamenceMega Salamence,SalamenceMega Salamence
LatiosMega Latios,Arcanine,LatiosMega Latios
Serperior,Heatmor,Serperior
Marill,Venomoth,Venomoth
Sandslash,Misdreavus,Misdreavus
Shroomish,Electivire,Electivire
Sneasel,Kangaskhan,Sneasel
DiancieMega Diancie,Dusknoir,DiancieMega Diancie
ThundurusIncarnate Forme,Cobalion,Cobalion
Haunter,Quilladin,Haunter
Seismitoad,Phantump,Seismitoad
Claydol,Cleffa,Claydol
Goodra,Machoke,Goodra
Vanillish,Lairon,Lairon
ThundurusTherian Forme,Beedrill,ThundurusTherian Forme
Gloom,Zapdos,Zapdos
Ninetales,GourgeistSuper Size,Ninetales
Pachirisu,Murkrow,Murkrow
Starly,Braviary,Braviary
Quilladin,Dratini,Quilladin
ManectricMega Manectric,AbsolMega Absol,ManectricMega Manectric
Meowth,Kabutops,Kabutops
Skrelp,Staraptor,Staraptor
Magikarp,Magby,Magby
Oshawott,GroudonPrimal Groudon,GroudonPrimal Groudon
Litwick,Munna,Munna
Munchlax,SteelixMega Steelix,SteelixMega Steelix
Crobat,Slowpoke,Crobat
Slurpuff,Vivillon,Vivillon
Chikorita,Ferroseed,Ferroseed
Durant,GarchompMega Garchomp,GarchompMega Garchomp
Spheal,Kricketune,Kricketune
Mesprit,Scizor,Scizor
KeldeoResolute Forme,Magnemite,KeldeoResolute Forme
Yamask,Nuzleaf,Nuzleaf
Cloyster,Eevee,Cloyster
Hippopotas,LopunnyMega Lopunny,LopunnyMega Lopunny
Seaking,Mandibuzz,Mandibuzz
Chansey,Suicune,Suicune
Riolu,Nidoran♀,Riolu
Alomomola,Onix,Onix
Claydol,Flabébé,Claydol
Primeape,Goodra,Goodra
Lucario,Geodude,Lucario
Florges,BlazikenMega Blaziken,BlazikenMega Blaziken
Meowth,Shellos,Meowth
Manaphy,Palkia,Palkia
Azumarill,Floette,Floette
Simisage,Eevee,Simisage
Bergmite,Mismagius,Mismagius
Misdreavus,Donphan,Donphan
BeedrillMega Beedrill,Lanturn,BeedrillMega Beedrill
Scatterbug,Purugly,Purugly
Helioptile,Vileplume,Vileplume
Mantyke,RotomFrost Rotom,RotomFrost Rotom
Hoothoot,Cleffa,Hoothoot
Accelgor,Omanyte,Accelgor
Jolteon,Karrablast,Jolteon
Zapdos,Leavanny,Zapdos
Shiftry,Binacle,Shiftry
Farfetch'd,Venonat,Venonat
Poliwag,Lillipup,Poliwag
AudinoMega Audino,Spheal,AudinoMega Audino
Sewaddle,Galvantula,Galvantula
Arbok,Magmar,Magmar
Ariados,Articuno,Articuno
Talonflame,Miltank,Talonflame
Slowpoke,Sealeo,Sealeo
Kricketot,Darkrai,Darkrai
TornadusTherian Forme,Dusclops,TornadusTherian Forme
Zekrom,Eelektrik,Zekrom
Goomy,Trapinch,Trapinch
Magnezone,GourgeistSmall Size,GourgeistSmall Size
KeldeoResolute Forme,Zweilous,KeldeoResolute Forme
Skarmory,HeracrossMega Heracross,HeracrossMega Heracross
Gogoat,Remoraid,Gogoat
Barbaracle,Hawlucha,Hawlucha
Totodile,Venonat,Venonat
Frillish,Rufflet,Rufflet
Furret,Spearow,Furret
Feraligatr,Nidoran♂,Feraligatr
Klefki,Meganium,Meganium
Houndoom,AegislashBlade Forme,Houndoom
Mew,Snorlax,Mew
Honedge,Yanma,Yanma
Staraptor,Beautifly,Staraptor
MeloettaAria Forme,Victreebel,Victreebel
Duosion,Fearow,Fearow
Sceptile,Grovyle,Sceptile
Diglett,Rapidash,Rapidash
Zubat,DarmanitanZen Mode,DarmanitanZen Mode
Maractus,Groudon,Groudon
Dratini,Spewpa,Dratini
AbomasnowMega Abomasnow,Pidove,AbomasnowMega Abomasnow
Chingling,Burmy,Burmy
Purrloin,Zweilous,Zweilous
Gulpin,Buizel,Buizel
GiratinaAltered Forme,Gengar,GiratinaAltered Forme
Banette,Gorebyss,Banette
Clawitzer,KangaskhanMega Kangaskhan,KangaskhanMega Kangaskhan
Tranquill,Patrat,Tranquill
BlastoiseMega Blastoise,Drilbur,BlastoiseMega Blastoise
Wobbuffet,Muk,Muk
GlalieMega Glalie,Tirtouga,GlalieMega Glalie
Sandslash,Beautifly,Beautifly
Slowking,Cofagrigus,Slowking
Darumaka,Bunnelby,Darumaka
Solosis,Vespiquen,Vespiquen
Misdreavus,Quilladin,Misdreavus
Zebstrika,Metang,Zebstrika
Heliolisk,Venonat,Heliolisk
Musharna,Magcargo,Magcargo
Skiddo,Monferno,Monferno
KangaskhanMega Kangaskhan,Buneary,KangaskhanMega Kangaskhan
Claydol,Chingling,Claydol
AegislashBlade Forme,Probopass,AegislashBlade Forme
Solosis,Sunkern,Solosis
Tentacool,Ariados,Tentacool
Tropius,Gardevoir,Gardevoir
Slugma,Duosion,Duosion
Nidorina,Lapras,Lapras
Umbreon,Ponyta,Ponyta
Rampardos,Raichu,Raichu
Blastoise,Nuzleaf,Blastoise
Golem,Noibat,Golem
Floette,Golett,Golett
Simipour,Servine,Simipour
Garbodor,Serperior,Serperior
Swoobat,AegislashShield Forme,AegislashShield Forme
Patrat,WormadamSandy Cloak,WormadamSandy Cloak
Chespin,Excadrill,Excadrill
SwampertMega Swampert,Hitmonlee,SwampertMega Swampert
Aggron,PinsirMega Pinsir,PinsirMega Pinsir
Exeggutor,Parasect,Parasect
Poliwrath,Chandelure,Chandelure
Skiddo,MewtwoMega Mewtwo Y,MewtwoMega Mewtwo Y
Teddiursa,Duosion,Duosion
Pignite,MewtwoMega Mewtwo X,MewtwoMega Mewtwo X
Braixen,Swoobat,Swoobat
Blaziken,Rhyperior,Blaziken
Rampardos,Magby,Rampardos
GourgeistLarge Size,Combusken,Combusken
Jumpluff,Unown,Jumpluff
Piloswine,Vaporeon,Vaporeon
Mightyena,Nidoran♀,Mightyena
Golduck,Lunatone,Golduck
Butterfree,Shellos,Butterfree
Clauncher,Lapras,Lapras
Kyurem,Kecleon,Kyurem
AggronMega Aggron,Seaking,AggronMega Aggron
AbsolMega Absol,Suicune,Suicune
LatiosMega Latios,Spinda,LatiosMega Latios
Tynamo,Clawitzer,Clawitzer
Sigilyph,KyogrePrimal Kyogre,KyogrePrimal Kyogre
MewtwoMega Mewtwo Y,Croconaw,MewtwoMega Mewtwo Y
Metapod,Munna,Munna
Feebas,Dratini,Dratini
Arcanine,Gengar,Gengar
AudinoMega Audino,Delphox,Delphox
Pinsir,Volcarona,Volcarona
Nuzleaf,Crustle,Crustle
TyranitarMega Tyranitar,Togekiss,Togekiss
Slugma,Weepinbell,Weepinbell
Skiploom,Shinx,Skiploom
Gastrodon,Pidove,Gastrodon
Gurdurr,Machamp,Machamp
Shiftry,ShayminLand Forme,ShayminLand Forme
Sentret,Ambipom,Ambipom
AegislashShield Forme,Druddigon,AegislashShield Forme
Aipom,Heatran,Heatran
Granbull,Litleo,Litleo
SableyeMega Sableye,Espurr,SableyeMega Sableye
Sandshrew,Relicanth,Relicanth
Qwilfish,Goodra,Goodra
Pidgey,Elgyem,Elgyem
Snorlax,Vulpix,Snorlax
Nincada,Simisage,Simisage
Whismur,Nidoran♂,Nidoran♂
Probopass,Goodra,Goodra
SharpedoMega Sharpedo,Aipom,SharpedoMega Sharpedo
Skiddo,Meowth,Meowth
Dodrio,Gyarados,Gyarados
Golem,Mew,Mew
Zekrom,Kirlia,Zekrom
Espurr,Snorunt,Snorunt
Litwick,HoopaHoopa Unbound,HoopaHoopa Unbound
Diggersby,Quagsire,Diggersby
Ninjask,Butterfree,Ninjask
Horsea,Barbaracle,Barbaracle
Kabuto,Elekid,Elekid
Dugtrio,Wingull,Dugtrio
Hawlucha,Elgyem,Hawlucha
Trevenant,Snover,Trevenant
ShayminLand Forme,Yamask,ShayminLand Forme
Pineco,Sunkern,Pineco
Combee,Rhyhorn,Rhyhorn
Claydol,DiancieMega Diancie,DiancieMega Diancie
Toxicroak,Foongus,Toxicroak
Pancham,Teddiursa,Pancham
CharizardMega Charizard X,Golbat,CharizardMega Charizard X
Diglett,Qwilfish,Qwilfish
Ducklett,Goomy,Goomy
Drifloon,Regirock,Regirock
Latias,Squirtle,Latias
Gothorita,Fearow,Fearow
Swalot,Bronzor,Swalot
Purrloin,CharizardMega Charizard Y,CharizardMega Charizard Y
Skarmory,Kadabra,Kadabra
Gyarados,Druddigon,Gyarados
Ledyba,Vulpix,Vulpix
AltariaMega Altaria,DeoxysAttack Forme,DeoxysAttack Forme
Grovyle,Aromatisse,Aromatisse
KyuremWhite Kyurem,Sentret,KyuremWhite Kyurem
Excadrill,Masquerain,Masquerain
Swalot,Frillish,Swalot
Frogadier,Cranidos,Frogadier
Jellicent,Scatterbug,Jellicent
Starly,Piplup,Piplup
Ledyba,Fraxure,Fraxure
Kricketune,Tepig,Kricketune
GyaradosMega Gyarados,Donphan,GyaradosMega Gyarados
Krookodile,Gurdurr,Krookodile
Kricketune,Rampardos,Kricketune
Combee,Zubat,Zubat
Weepinbell,Omastar,Omastar
Golem,Ferroseed,Golem
Honedge,Hippowdon,Hippowdon
Beldum,KangaskhanMega Kangaskhan,KangaskhanMega Kangaskhan
Trapinch,GardevoirMega Gardevoir,GardevoirMega Gardevoir
Chikorita,Metagross,Metagross
Ursaring,DeoxysDefense Forme,DeoxysDefense Forme
Fearow,Seedot,Fearow
Trapinch,Slaking,Slaking
Musharna,Lotad,Musharna
Clamperl,Mesprit,Mesprit
Mienshao,Sewaddle,Mienshao
Avalugg,Swinub,Avalugg
Ambipom,Terrakion,Ambipom
Ekans,Psyduck,Psyduck
Vulpix,Minccino,Minccino
RotomWash Rotom,Mawile,RotomWash Rotom
Axew,Carvanha,Carvanha
AbomasnowMega Abomasnow,Sandile,AbomasnowMega Abomasnow
AerodactylMega Aerodactyl,Crustle,AerodactylMega Aerodactyl
Magby,Patrat,Magby
Clefairy,Emboar,Emboar
Roggenrola,PumpkabooSuper Size,PumpkabooSuper Size
Drifblim,AltariaMega Altaria,AltariaMega Altaria
Gloom,Swanna,Swanna
Charmeleon,Herdier,Herdier
Growlithe,Lotad,Growlithe
Chatot,Jirachi,Jirachi
ScizorMega Scizor,Minun,ScizorMega Scizor
Minun,SlowbroMega Slowbro,SlowbroMega Slowbro
Magnemite,Growlithe,Growlithe
Dragalge,Regice,Regice
Buneary,Victreebel,Victreebel
Cryogonal,Metapod,Cryogonal
Feraligatr,Hypno,Hypno
Regirock,Shroomish,Regirock
GourgeistAverage Size,Spinarak,GourgeistAverage Size
MewtwoMega Mewtwo Y,Krookodile,MewtwoMega Mewtwo Y
Luxray,Groudon,Groudon
Tirtouga,Dewgong,Dewgong
KangaskhanMega Kangaskhan,Reuniclus,Reuniclus
Hoothoot,Croconaw,Croconaw
Heliolisk,Aerodactyl,Aerodactyl
Cacnea,Regigigas,Regigigas
Dewgong,Flabébé,Dewgong
Shellos,Donphan,Donphan
Gligar,Vigoroth,Vigoroth
Raikou,Gogoat,Raikou
ScizorMega Scizor,Arceus,Arceus
Talonflame,Floatzel,Floatzel
Stantler,Skrelp,Stantler
Wurmple,Seviper,Seviper
Pancham,Weepinbell,Weepinbell
Shelmet,Krokorok,Krokorok
Houndoom,Grimer,Houndoom
Celebi,Shelgon,Celebi
Probopass,SalamenceMega Salamence,SalamenceMega Salamence
DarmanitanStandard Mode,Stunfisk,Stunfisk
Kricketot,Shinx,Shinx
Miltank,Blastoise,Miltank
Klink,Squirtle,Squirtle
Aron,Rhyhorn,Rhyhorn
Spoink,Vileplume,Vileplume
AggronMega Aggron,Spearow,AggronMega Aggron
Manaphy,Toxicroak,Manaphy
Cofagrigus,Illumise,Illumise
Sharpedo,Diglett,Sharpedo
Salamence,Electrode,Electrode
Heatmor,RayquazaMega Rayquaza,RayquazaMega Rayquaza
Trevenant,Cottonee,Trevenant
Heracross,Clefairy,Heracross
Darumaka,Happiny,Darumaka
Larvitar,Floatzel,Floatzel
Snorlax,Crustle,Crustle
Combee,Fletchling,Fletchling
Yanma,Ursaring,Ursaring
Jellicent,Ditto,Jellicent
Masquerain,Vaporeon,Vaporeon
Turtwig,Pichu,Turtwig
GiratinaAltered Forme,Whimsicott,GiratinaAltered Forme
Gorebyss,Pidgey,Gorebyss
Trubbish,Spheal,Trubbish
SlowbroMega Slowbro,Happiny,SlowbroMega Slowbro
Emboar,Skuntank,Skuntank
Rapidash,Fletchling,Rapidash
Slakoth,SwampertMega Swampert,SwampertMega Swampert
Klinklang,Clefairy,Klinklang
Snorunt,Beedrill,Beedrill
Marill,Rotom,Rotom
Shelgon,Yanmega,Yanmega
Swalot,Greninja,Greninja
Breloom,Milotic,Milotic
Boldore,Poliwhirl,Poliwhirl
Espeon,Vespiquen,Espeon
Boldore,Minun,Minun
Empoleon,Gible,Empoleon
Froakie,Camerupt,Camerupt
Magmar,Gardevoir,Magmar
Mime Jr.,Dedenne,Dedenne
Ekans,Scrafty,Scrafty
Heatmor,Clauncher,Heatmor
Chimecho,Clauncher,Chimecho
GourgeistLarge Size,Politoed,Politoed
Noctowl,HeracrossMega Heracross,HeracrossMega Heracross
DiancieMega Diancie,Slurpuff,DiancieMega Diancie
Scolipede,Turtwig,Scolipede
Vanilluxe,Wobbuffet,Vanilluxe
HoundoomMega Houndoom,Golett,HoundoomMega Houndoom
KyogrePrimal Kyogre,Honedge,KyogrePrimal Kyogre
Ducklett,Tynamo,Tynamo
Lumineon,Vibrava,Lumineon
Machamp,Snorunt,Machamp
Mamoswine,Skitty,Mamoswine
Shinx,Magby,Magby
Blitzle,Crawdaunt,Crawdaunt
Aerodactyl,GalladeMega Gallade,Aerodactyl
Pansear,Litwick,Litwick
KyuremWhite Kyurem,MetagrossMega Metagross,MetagrossMega Metagross
Vanillite,Vanilluxe,Vanilluxe
Swalot,Chikorita,Swalot
Vileplume,Furret,Furret
DeoxysAttack Forme,Teddiursa,DeoxysAttack Forme
Meditite,Hawlucha,Hawlucha
Groudon,Rhyhorn,Groudon
